field_1,field_2
13.026080000000000,46.685248999999999
13.065300000000001,46.685371000000004
13.026230000000000,46.658259999999999
13.065429999999999,46.658378999999996
13.104640000000000,46.658459000000001
13.026380000000000,46.631259999999997
13.065569999999999,46.631390000000003
13.104749999999999,46.631470000000000
13.026540000000001,46.604270999999997
13.065700000000000,46.604388999999998
13.104870000000000,46.604469000000002
12.908189999999999,46.711880000000001
12.986680000000000,46.712119999999999
12.908400000000000,46.684879000000002
12.947630000000000,46.685009000000001
12.986850000000000,46.685130999999998
12.908620000000001,46.657890000000002
12.947820000000000,46.658009000000000
12.987030000000001,46.658130999999997
12.908830000000000,46.630901000000001
12.948020000000000,46.631019999999999
12.987200000000000,46.631141999999997
